Date,Open,High,Low,Close,Adj Close,Volume
2005-05-06,1.927500,1.931667,1.883333,1.930833,1.773381,35572800
2005-05-09,1.939167,1.980000,1.927500,1.966667,1.806293,74533200
2005-05-10,1.941667,1.942500,1.868333,1.890000,1.735878,73512000
2005-05-11,1.900000,1.908333,1.855000,1.858333,1.706793,55542000
2005-05-12,1.858333,1.924167,1.856667,1.899167,1.744298,83558400
2005-05-13,2.070833,2.122500,1.983333,2.110833,1.938703,265032000
2005-05-16,2.085833,2.132500,2.085000,2.118333,1.945592,66410400
2005-05-17,2.105833,2.151667,2.104167,2.141667,1.967022,63980400
2005-05-18,2.136667,2.162500,2.114167,2.157500,1.981565,55005600
2005-05-19,2.162500,2.171667,2.129167,2.153333,1.977737,45288000
2005-05-20,2.150833,2.192500,2.125833,2.191667,2.012945,51700800
2005-05-23,2.206667,2.265000,2.200000,2.242500,2.059633,70366800
2005-05-24,2.231667,2.282500,2.220833,2.274167,2.088717,52219200
2005-05-25,2.269167,2.280833,2.223333,2.245000,2.061929,53527200
2005-05-26,2.265000,2.325833,2.260833,2.308333,2.120097,78878400
2005-05-27,2.315000,2.315000,2.269167,2.293333,2.106322,32274000
2005-05-31,2.283333,2.302500,2.220833,2.258333,2.074175,76317600
2005-06-01,2.243333,2.320833,2.216667,2.279167,2.093309,79663200
2005-06-02,2.270833,2.364167,2.270833,2.364167,2.171379,68434800
2005-06-03,2.355833,2.377500,2.333333,2.358333,2.166020,55962000
2005-06-06,2.315833,2.361667,2.314167,2.335833,2.145355,51289200
2005-06-07,2.320000,2.358333,2.270833,2.279167,2.093309,97413600
2005-06-08,2.285000,2.316667,2.239167,2.263333,2.078767,61872000
2005-06-09,2.245833,2.359167,2.243333,2.358333,2.166020,61990800
2005-06-10,2.355833,2.358333,2.315833,2.331667,2.141528,46509600
2005-06-13,2.333333,2.449167,2.326667,2.383333,2.188981,140991600
2005-06-14,2.384167,2.423333,2.167500,2.242500,2.059633,240841200
2005-06-15,2.228333,2.245833,2.147500,2.235833,2.053509,166978800
2005-06-16,2.235000,2.262500,2.202500,2.247500,2.064226,48924000
2005-06-17,2.275000,2.279167,2.236667,2.242500,2.059633,45634800
2005-06-20,2.242500,2.291667,2.205833,2.276667,2.091013,60606000
2005-06-21,2.291667,2.309167,2.270000,2.298333,2.110913,42817200
2005-06-22,2.322500,2.338333,2.267500,2.295833,2.108617,70066800
2005-06-23,2.291667,2.360000,2.283333,2.331667,2.141528,83697600
2005-06-24,2.327500,2.328333,2.245000,2.257500,2.073410,47563200
2005-06-27,2.243333,2.261667,2.219167,2.239167,2.056571,35458800
2005-06-28,2.248333,2.268333,2.223333,2.253333,2.069583,26230800
2005-06-29,2.254167,2.258333,2.214167,2.232500,2.050448,28357200
2005-06-30,2.247500,2.268333,2.209167,2.226667,2.045092,59323200
2005-07-01,2.219167,2.240000,2.191667,2.236667,2.054276,31516800
2005-07-05,2.245000,2.280833,2.223333,2.271667,2.086422,38844000
2005-07-06,2.279167,2.342500,2.253333,2.332500,2.142293,70363200
2005-07-07,2.295833,2.333333,2.288333,2.315833,2.126985,46590000
2005-07-08,2.330000,2.352500,2.300000,2.345000,2.153774,40813200
2005-07-11,2.365833,2.404167,2.355833,2.380000,2.185920,39949200
2005-07-12,2.378333,2.385000,2.318333,2.366667,2.173675,56425200
2005-07-13,2.376667,2.383333,2.330000,2.370000,2.176735,59478000
2005-07-14,2.395000,2.441667,2.261667,2.265000,2.080298,187149600
2005-07-15,2.258333,2.265000,2.201667,2.240833,2.058103,122335200
2005-07-18,2.234167,2.235000,2.162500,2.185000,2.006822,104490000
2005-07-19,2.198333,2.220000,2.181667,2.215000,2.034376,51789600
2005-07-20,2.189167,2.257500,2.159167,2.248333,2.064990,52650000
