Date,Open,High,Low,Close,Adj Close,Volume
2005-05-06,8.353977,8.455181,8.280373,8.298774,4.438611,5254328
2005-05-09,8.317175,8.335576,8.252772,8.326376,4.453374,4367846
2005-05-10,8.188369,8.188369,8.087165,8.105566,4.335275,9069482
2005-05-11,8.105566,8.142367,8.013561,8.050363,4.305748,6120267
2005-05-12,8.169968,8.179169,7.995161,8.022762,4.290987,6970881
2005-05-13,8.123966,8.326376,8.105566,8.298774,4.438611,9936291
2005-05-16,8.234371,8.261973,8.151568,8.234371,4.404165,3798850
2005-05-17,8.142367,8.234371,8.077964,8.225171,4.399245,5842889
2005-05-18,8.307975,8.363177,8.261973,8.307975,4.443532,7370320
2005-05-19,8.390778,8.547185,8.390778,8.537985,4.566554,6912514
2005-05-20,8.556386,8.574787,8.427580,8.556386,4.576396,6429927
2005-05-23,8.399979,8.482783,8.363177,8.436780,4.512424,6368517
2005-05-24,8.482783,8.556386,8.418380,8.537985,4.566554,3354305
2005-05-25,8.464382,8.464382,8.326376,8.409179,4.497661,2564776
2005-05-26,8.473582,8.501183,8.418380,8.455181,4.522266,6865451
2005-05-27,8.482783,8.491983,8.436780,8.473582,4.532107,4582293
2005-05-31,8.390778,8.491983,8.390778,8.473582,4.532107,6448731
2005-06-01,8.390778,8.593188,8.390778,8.556386,4.576396,6642092
2005-06-02,8.593188,8.740394,8.565586,8.731194,4.669892,8161045
2005-06-03,8.740394,8.887601,8.326376,8.767995,4.689575,7876601
2005-06-06,8.795597,8.906002,8.749595,8.896801,4.758468,6758717
2005-06-07,8.823198,8.896801,8.777196,8.813998,4.714180,5403995
2005-06-08,8.878400,8.952004,8.804797,8.841599,4.728942,4594141
2005-06-09,8.860000,8.979605,8.749595,8.970405,4.797835,9513919
2005-06-10,8.933603,8.961204,8.878400,8.924402,4.773230,4920104
2005-06-13,8.733034,8.935903,8.607448,8.694392,4.816529,5232269
2005-06-14,8.742694,8.742694,8.646090,8.684732,4.811176,5858638
2005-06-15,8.752355,8.771676,8.578467,8.655750,4.795121,6761082
2005-06-16,8.723373,8.848959,8.704053,8.810317,4.880748,7603694
2005-06-17,8.906922,9.022847,8.868280,8.868280,4.912859,6083887
2005-06-20,8.906922,8.955224,8.887601,8.926243,4.944969,6243818
2005-06-21,8.887601,9.061489,8.829638,8.897261,4.928914,4040294
2005-06-22,9.216056,9.216056,9.032507,9.090470,5.035946,6579206
2005-06-23,9.187074,9.245037,9.100130,9.109791,5.046651,8674143
2005-06-24,9.109791,9.129112,8.984205,9.051828,5.014540,10768148
2005-06-27,8.984205,9.032507,8.906922,8.935903,4.950320,10720945
2005-06-28,8.964884,8.984205,8.906922,8.935903,4.950320,9391916
2005-06-29,8.868280,8.877940,8.723373,8.819978,4.886099,5696016
2005-06-30,8.810317,8.887601,8.742694,8.810317,4.880748,7681227
2005-07-01,8.839299,8.964884,8.800657,8.868280,4.912859,4474022
2005-07-05,8.597788,8.675071,8.539825,8.665411,4.800472,12847454
2005-07-06,8.646090,8.665411,8.607448,8.665411,4.800472,6531693
2005-07-07,8.472202,8.539825,8.385258,8.491523,4.704143,7414779
2005-07-08,8.530165,8.607448,8.481863,8.597788,4.763012,7606696
2005-07-11,8.868280,8.887601,8.829638,8.868280,4.912859,7865380
2005-07-12,8.868280,9.080810,8.868280,9.080810,5.030596,7041711
2005-07-13,9.071149,9.071149,8.839299,8.964884,4.966374,6588833
2005-07-14,9.042168,9.090470,9.013186,9.061489,5.019892,5762577
2005-07-15,9.071149,9.071149,8.897261,9.042168,5.009190,5874476
2005-07-18,8.984205,9.071149,8.887601,8.906922,4.934266,3489180
2005-07-19,8.935903,9.013186,8.887601,8.984205,4.977078,6792758
2005-07-20,8.984205,9.109791,8.868280,9.061489,5.019892,11185313
